Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
SJVN,SJVN LIMITED,SJVN LIMITED,,,,
COCHINSHIP,COCHIN SHIPYARD LIMITED,COCHIN SHIPYARD LIMITED,,,,
FEDERALBNK,THE FEDERAL BANK  LIMITED,THE FEDERAL BANK  LIMITED,,,,
PAGEIND,PAGE INDUSTRIES LIMITED,PAGE INDUSTRIES LIMITED,,,,
COFORGE,COFORGE LIMITED,COFORGE LIMITED,,,,
AUBANK,AU SMALL FINANCE BANK LIMITED,AU SMALL FINANCE BANK LIMITED,,,,
VMM,VISHAL MEGA MART LIMITED,VISHAL MEGA MART LIMITED,,,,
MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,,,,
LLOYDSME,LLOYDS METALS AND ENERGY LIMITED,LLOYDS METALS AND ENERGY LIMITED,,,,
BDL,BHARAT DYNAMICS LIMITED,BHARAT DYNAMICS LIMITED,,,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,KPIT TECHNOLOGIES LIMITED,,,,
TATAELXSI,TATA ELXSI LIMITED,TATA ELXSI LIMITED,,,,
GVT&D,GE VERNOVA T&D INDIA LIMITED,GE VERNOVA T&D INDIA LIMITED,,,,
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK PHARMACEUTICALS LIMITED,,,,
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,,,,
ACC,ACC LIMITED,ACC LIMITED,,,,
FORTIS,FORTIS HEALTHCARE LIMITED,FORTIS HEALTHCARE LIMITED,,,,
PAYTM,ONE 97 COMMUNICATIONS LIMITED,ONE 97 COMMUNICATIONS LIMITED,,,,
AWL,ADANI WILMAR LIMITED,ADANI WILMAR LIMITED,,,,
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,,,,
HONAUT,HONEYWELL AUTOMATION INDIA LIMITED,HONEYWELL AUTOMATION INDIA LIMITED,,,,
OLAELEC,OLA ELECTRIC MOBILITY LIMITED,OLA ELECTRIC MOBILITY LIMITED,,,,
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED,GUJARAT FLUOROCHEMICALS LIMITED,,,,
MAHABANK,BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,,,,
BIOCON,BIOCON LIMITED,BIOCON LIMITED,,,,
UPL,UPL LIMITED,UPL LIMITED,,,,
ESCORTS,ESCORTS KUBOTA LIMITED,ESCORTS KUBOTA LIMITED,,,,
JUBLFOOD,JUBILANT FOODWORKS LIMITED,JUBILANT FOODWORKS LIMITED,,,,
APLAPOLLO,APL APOLLO TUBES LIMITED,APL APOLLO TUBES LIMITED,,,,
EXIDEIND,EXIDE INDUSTRIES LIMITED,EXIDE INDUSTRIES LIMITED,,,,
SONACOMS,SONA BLW PRECISION FORGINGS LIMITED,SONA BLW PRECISION FORGINGS LIMITED,,,,
TATATECH,TATA TECHNOLOGIES LIMITED,TATA TECHNOLOGIES LIMITED,,,,
LTF,L&T FINANCE LIMITED,L&T FINANCE LIMITED,,,,
GUJGASLTD,GUJARAT GAS LIMITED,GUJARAT GAS LIMITED,,,,
360ONE,360 ONE WAM LIMITED,360 ONE WAM LIMITED,,,,
3MINDIA,3M INDIA LIMITED,3M INDIA LIMITED,,,,
MFSL,MAX FINANCIAL SERVICES LIMITED,MAX FINANCIAL SERVICES LIMITED,,,,
KEI,KEI INDUSTRIES LIMITED,KEI INDUSTRIES LIMITED,,,,
AIAENG,AIA ENGINEERING LIMITED,AIA ENGINEERING LIMITED,,,,
DEEPAKNTR,DEEPAK NITRITE LIMITED,DEEPAK NITRITE LIMITED,,,,
NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONAL ALUMINIUM COMPANY LIMITED,,,,
BLUESTARCO,BLUE STAR LIMITED,BLUE STAR LIMITED,,,,
NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED,THE NEW INDIA ASSURANCE COMPANY LIMITED,,,,
PSB,PUNJAB & SIND BANK,PUNJAB & SIND BANK,,,,
APARINDS,APAR INDUSTRIES LIMITED,APAR INDUSTRIES LIMITED,,,,
AJANTPHARM,AJANTA PHARMA LIMITED,AJANTA PHARMA LIMITED,,,,
IPCALAB,IPCA LABORATORIES LIMITED,IPCA LABORATORIES LIMITED,,,,
LICHSGFIN,LIC HOUSING FINANCE LIMITED,LIC HOUSING FINANCE LIMITED,,,,
NLCINDIA,NLC INDIA LIMITED,NLC INDIA LIMITED,,,,
M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,,,,
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,IRB INFRASTRUCTURE DEVELOPERS LIMITED,,,,
CRISIL,CRISIL LIMITED,CRISIL LIMITED,,,,
GODREJIND,GODREJ INDUSTRIES LIMITED,GODREJ INDUSTRIES LIMITED,,,,
DALBHARAT,DALMIA BHARAT LIMITED,DALMIA BHARAT LIMITED,,,,
SYNGENE,SYNGENE INTERNATIONAL LIMITED,SYNGENE INTERNATIONAL LIMITED,,,,
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED,ENDURANCE TECHNOLOGIES LIMITED,,,,
METROBRAND,METRO BRANDS LIMITED,METRO BRANDS LIMITED,,,,
JKCEMENT,JK CEMENT LIMITED,JK CEMENT LIMITED,,,,
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED,KAYNES TECHNOLOGY INDIA LIMITED,,,,
TATAINVEST,TATA INVESTMENT CORPORATION LIMITED,TATA INVESTMENT CORPORATION LIMITED,,,,
IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,,,,
IGL,INDRAPRASTHA GAS LIMITED,INDRAPRASTHA GAS LIMITED,,,,
ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED,ADITYA BIRLA FASHION AND RETAIL LIMITED,,,,
APOLLOTYRE,APOLLO TYRES LIMITED,APOLLO TYRES LIMITED,,,,
FIRSTCRY,BRAINBEES SOLUTIONS LIMITED,BRAINBEES SOLUTIONS LIMITED,,,,
STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,,,,
GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED,GO DIGIT GENERAL INSURANCE LIMITED,,,,
MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,,,,
EMAMILTD,EMAMI LIMITED,EMAMI LIMITED,,,,
KPRMILL,K.P.R. MILL LIMITED,K.P.R. MILL LIMITED,,,,
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,,,,
SUNTV,SUN TV NETWORK LIMITED,SUN TV NETWORK LIMITED,,,,
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,,,,
MANYAVAR,VEDANT FASHIONS LIMITED,VEDANT FASHIONS LIMITED,,,,
BANDHANBNK,BANDHAN BANK LIMITED,BANDHAN BANK LIMITED,,,,
GLAND,GLAND PHARMA LIMITED,GLAND PHARMA LIMITED,,,,
GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED,GODFREY PHILLIPS INDIA LIMITED,,,,
MEDANTA,GLOBAL HEALTH LIMITED,GLOBAL HEALTH LIMITED,,,,
MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED,MOTHERSON SUMI WIRING INDIA LIMITED,,,,
BRIGADE,BRIGADE ENTERPRISES LIMITED,BRIGADE ENTERPRISES LIMITED,,,,
NBCC,NBCC (INDIA) LIMITED,NBCC (INDIA) LIMITED,,,,
HINDCOPPER,HINDUSTAN COPPER LIMITED,HINDUSTAN COPPER LIMITED,,,,
POONAWALLA,POONAWALLA FINCORP LIMITED,POONAWALLA FINCORP LIMITED,,,,
PPLPHARMA,PIRAMAL PHARMA LIMITED,PIRAMAL PHARMA LIMITED,,,,
SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED,SUVEN PHARMACEUTICALS LIMITED,,,,
JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED,JB CHEMICALS & PHARMACEUTICALS LIMITED,,,,
DELHIVERY,DELHIVERY LIMITED,DELHIVERY LIMITED,,,,
GILLETTE,GILLETTE INDIA LIMITED,GILLETTE INDIA LIMITED,,,,
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED,CARBORUNDUM UNIVERSAL LIMITED,,,,
ABREL,ADITYA BIRLA REAL ESTATE LIMITED,ADITYA BIRLA REAL ESTATE LIMITED,,,,
BASF,BASF INDIA LIMITED,BASF INDIA LIMITED,,,,
ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,,,,
AEGISLOG,AEGIS LOGISTICS LIMITED,AEGIS LOGISTICS LIMITED,,,,
ITI,ITI LIMITED,ITI LIMITED,,,,
RADICO,RADICO KHAITAN LIMITED,RADICO KHAITAN LIMITED,,,,
SUNDRMFAST,SUNDRAM FASTENERS LIMITED,SUNDRAM FASTENERS LIMITED,,,,
TIMKEN,TIMKEN INDIA LIMITED,TIMKEN INDIA LIMITED,,,,
TATACHEM,TATA CHEMICALS LIMITED,TATA CHEMICALS LIMITED,,,,
CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,,,,
ISEC,ICICI SECURITIES LIMITED,ICICI SECURITIES LIMITED,,,,
JYOTICNC,JYOTI CNC AUTOMATION LIMITED,JYOTI CNC AUTOMATION LIMITED,,,,
